,text
70,"Pésimo servicio, más de 1 hora para depositar.  Sólo dos cajeros en ventanilla y la sucursal llena, mientras tanto un empleado afuera voceando los turnos que pasan con los ejecutivos de cuenta y otra dando los turnos (sin trabajo y limandose las uñas) ¡¡Que desperdició de mano de obra!!"
71,Normalmente hay que esperar mucho tiempo para ser atendido.
72,"Muy amable las personas que atienden, pero super tardados, llevo 1hr esperando q me atiendan."
73,"Siempre esta lleno! Dan buen servicio pero igual de las 3 ventanillas que tienen solo funcionan 2, la otra de adorno"
74,"Tengan cuidado con los prestamos personales, que les impriman las condiciones y expliquen bien. Yo por las prisas y solo firmar en la tablet me ensarté horrible (salió super caro el préstamo + comision de cuenta de ahorros?...), quedaron…"
75,La atención de los ejecutivos es muy buena
76,Son unos rateros
77,Está bien ubicado pero es imposible estacionarse por ahí
78,"La atención es muy mala. Se tardan mucho, y son muy incompetentes."
79,Tiene estacionamiento y si puedes pasar con silla de ruedas.
80,Súper tarda dos siempre hay una caja nada más
81,Cualquier servicio toma más de 40 minutos a toda hora
82,Buena
91,"tiene un pésimo servicio / cero estrellas. El ejecutivo que me atendió no tenía idea de que estaba haciendo: no encontraba mi cuenta, me pidió como comprobante el contrato de apertura ¿? (que deberían tener ellos también) y al final me dio…"
92,Todo en orden aunque el tiempo de espera es mejorable.
93,Oigan podrían publicar un teléfono de la sucursal ya que el que aparece en internet es solo un menu para tarjetas robadas o extraviadas y cuentas empresariales no las nombran. Ya que es un poco pesado ir hasta allá a desbloquear una cuenta
94,"Aire que corre en todo momento, refrescando ese día ajetreado que tuviste"
95,El servicio está regular pero hay una acesora digital con lentes medio chaparra con cata de preocupación que atiende muy bien y aparte esta bien hermosa
96,"Pésimo!! Una de las máquinas se trago mi dinero y lo único que hicieron fue, déjenos sus datos ya que vamos a tardar 15 minutos. Llevo una semana y no recibi mi dinero. Si no pueden dar solución sería mejor que te dijeran y no te estuvieran con rodeos."
97,"Pésimo servicio, después de 50 minutos esperando me tocó que me ""atendiera"" una chica que apenas estaba aprendiendo, jamás conseguí mi cometido en esa sucursal, tuve que acudir a otra, además, el resto de los clientes que estaban esperando…"
98,"40 minutos para pasar a ventanilla. 2 de 6 cajas abiertas solamente, pero dos personas como “hostess”. Del asco su servicio y su lentitud."
99,"Aqui si pudieron darme mi plastico,  asi que recomiendo esta sucursal sobre la de Metropoli, el tramtie fue rapido y sin contratiempos."
100,"Pésimo servicio, no se si sea a nivel bancario o solo ésta sucursal, se pidió el apoyo para una precalificación de un crédito, hasta ahora ya es una semana que venció la fecha que habian quedado en entregarla y no hay respuesta, que para el…"
101,Pésimo servicio los ejecutivos se hacen súper mensos y no nos pasan ...
102,Tardan mucho en atender... Vengan con mucha paciencia.
103,"Los turnos no servían, me hicieron tardar horas y el servicio pésimo. El Ejecutivo grosero y de malas! Pésimo!"
104,"Pésimo servicio. Se creen en 1980 con atención ""especial"" a clientes premium que tarde 30 minutos. Ejecutivos de cuenta que no hacen nada. Todo lento y mal hecho, mismo con una sucursal nueva y bonita, una porquería de servicio. Todo muy…"
105,Me atendieron muy rápido en el trámite de mi tarjeta bancaria. Les agradezco la rapidez y atención con amabilidad brindada.
106,"Buen servicio, sin embargo se tardó el ejecutivo en llamarnos y la verdad tenia cara de pocos amigos, no me gusta ese trato"
107,Buena sucursal pero con tiempos de espera muy largos
108,"Es una buena sucursal, solo los días de fin de mes se satura y en quincenas"
109,"Pesimo servicio, muy lento el servicio y malo"
110,Muy rápido el servicio
111,saben de algún banco bancomer que abra hoy domingo???
112,Muy buena atención cuenta con 9 cajeros automáticos el único problema la atención de ejecutivo así como cajas de viernes a domingo es muy pesada ir con tiempo por lo menos media hora antes
113,Excelente que laboren los sábados.
122,Pesimo servicio al cliente.
123,"Pésimo
No me ayudaron a obtener mi tarjeta de nómina y me trataron muy mal la ejecutiva del cubículo 1"
124,Poco serviciales y mala información
125,Esta cerrado por remodelación.
126,Un buen lugar para retirar efectivo de forma rápida.
128,"Ahora que debería ser más eficiente la atención, dedicar una caja exclusiva para “cambio” con tiempos de espera de más de 15 minutos encerrados en sucursales, me parece ridículo"
129,"En verdad es una porquería esta sucursal.
Imposible que te contesten por teléfono.

Me arrepiento de abrir cuenta con ellos."
130,Alguien tiene el número directo de esta sucursal?
131,"DE MEDIOCRE, AL PEOR BANCO DE MÉXICO

Si necesitas abrir una cuenta bancaria, igual te conviene ir a cualquier otro banco...

*Primera visita a esta sucursal:
En diciembre de 2017 me presenté a sucursal (me corresponde Nuevo León, pero en…"
132,excelente banco mejor plataforma
133,"(Traducción de Google) Super lento

(Original)
Super lentos"
141,"Que pésimo servicio de parte de los ejecutivos, la información que dan es errónea, me hicieron cambiar nómina ellos que necesitaba adquirir una tarjeta de crédito (que obviamente no adquirí) para que el trámite fuera más rápido!!
Hoy voy de…"
142,"Pésimo servicio, mucha gente, mucho calor, no regresare."
143,"pesimo servicio en toda sucursal, lineas telefonicas sin exito, te dejan en espera, te cuelgan."
144,"muy mal servicio, la Ejecutiva Diana Alcántara no sabe dar seguimiento a clientes, perdí mas de 1 mes esperando la apertura de cuenta para descubrir que jamas inicio el proceso la ejecutiva, el personal desatento mas de 40 minutos esperando…"
145,En la sucursal todo depende de la hora a la que vas a realizar tus operaciones si vas en la mañana todo es más rápido que a las horas pico.
146,Fueron muy amables conmigo.
147,Buen servicio hay poca gente y generalmente trabajan con todos los cajeros
148,La ejecutiva Mariana brinda un excelente servicio
149,"Es extraño que te digan un monto para abrir una cuenta que en su página general es otro, pero en general buen servicio, perfecto si tienen tarjeta platino 👌🏼muy buen Servicio."
150,"Limpio, buena atención ejecutivos pendientes de tus necesidades"
151,La alarma de este banco está averiada y suena toda la noche casi cada día !!! Y no deja dormir a los vecinos. Arreglen eso !!!!
152,Lugar amplio y con muy buena ubicación y varios cajeros automáticos.
153,"Porquería de servicio, clásico de bancomer, buenos para cobrar, malos para atenderte."
154,Bastante mala experiencia
155,"Pésima atención de ejecutivos de cuenta y gerente, discriminan a la gente de la tercera edad y pocos ingresos."
156,La atención es muy mala y a veces puedes hacer una hora en la fila de espera.
157,Excelente servicio y muy atentos
158,Buena atención
159,Cobran el estacionamiento a Clientes!
160,Muy mal servicio. Vayan a otra sucursal
161,Buena jubilación y segura
162,Ya remodelado!! Pero en la noche hay cosas de dudosa sexualidad y no sabes si te puedes acercar con confianza
163,bancomer en remodelacion desde hace 1 mes. hasta cuando?
172,ESTA CERRADO!! SE FUERON! YA NO HAY BANCOMER AQUI!!
173,"Cada vez que me presento hay menos de los ejecutivos que deben estar en este caso de 3 que deben haber solo 1 y al parecer con poco deseo de trabajar. 1hora de espera en promedio, dios mío ayúdales a tener deseo de trabajar."
174,"Los ejecutivos comerciales de esta sucursal son una vergüenza, en especial el 3 y 4, NO TIENEN GANAS DE TRABAJAR, no les importa los clientes que están esperando, se toman el tiempo que quieren, no respetan al cliente, atienden como si…"
175,"Pésimo servicio.
No se para que te dan un número de espera si no lo respetan. Es una burla su servicio. Espere una hora siendo que en la pantalla marcaba que la siguiente era yo, pero pasaron a dos personas antes y todavía escuché que iban a pasar otro más."
176,"Los ejecutivos dan preferencia a sus amigos sin tener ficha, que a las personas que ya tenemos más de 40 min esperando. Muy mal servicio."
177,"No hay servicio, ni cajeros"
178,"Llevo tres semanas con el trámite de la terminal punto de venta y al día de hoy no he tenido una respuesta favorable, el ejecutivo que nos atiende parece importarle muy poco darle seguimiento a las cosas, siempre queda en un día y hora y no tiene la amabilidad de contestar por ningún medio."
179,"Desde el día viernes 22 de febrero 2019 me bloquearon una cuenta de nómina digital, desde el mismo momento acudí a la sucursal y supuestamente solo faltaba actualizar un dato de la cuenta y en el transcurso del día quedaría liberada sin…"
180,"Si pueden de preferencia no vaya a esta sucursal, es pésima en atención al cliente. Te hacen esperar horas y  el personal esta todo el tiempo con caras.  son nefatosssssssss"
181,"La parte de atención al public es muy mala, el tiempo de espera es en promedio de  45 minutos. No puede ser que estando en una zona ejecutiva, hagan esperar tanto a sus clients. Pésimo servicio!"
182,"Porque tiene Cajero inteligente para pagos en efectivo.

Les faltó un poquito de limpieza."
183,Pésimo servicio espere por una tontería 1 hora
184,"¡Aquí venden la Smart Pad de Atvio por $1,990 pesos! Vale la pena."
185,Dan informacion a medias
186,Los ejecutivos más lentos!!!
187,Lento y con pocos cajeros en las ventanillas. Siempre lleno
188,Esta sucursal es una basura en atención al cliente. Vergonzoso para el gerente.
189,"Bastante rápido, ojo, no cuenta con practi caja"
190,"Solo 1 ejecutivo atendiendo, lamentablemente el servicio ineficaz."
191,"Están innovando día a día , de acuerdo a las mejores prácticas internacionales"
192,"Este es buena opción, no se llena y son bastante ágiles."
193,como siempre tienen de todo menos lo que quiere el cliente
194,"Horrible, pésimo de fotografía"
195,"(Traducción de Google) ATM agradable y limpio, rápido y sin crwod

(Original)
ATM nice and clean, fast and withwout crwod"
202,"Bien ubicados y servicio rápido, deberían mejorar la limpieza de sus instalaciones."
203,"Esta sucursal es muy rápida y otra cosa positiva es que el personal está compuesto de  gente joven.

Tiene varios cajeros automáticos y a diferencia de otras sucursales casi siempre sirven todos."
204,"Había tenido buena experiencia, pero precisamente hoy fui a depositar al cajero automático y uno de ellos no sirve y el otro que use se trago dos billetes de 20 pesos y siguio trabajando normal dicho cajero 😩🤷"
205,Zona segura y cerca del metro. Me atendieron súper rápido
206,"Excelente sucursal, muy buen servicio en términos generales, cajeros disponible en en buen funcionamiento, independientemente de la zona es seguro ya que a unas calles hay una estación de policía local, lo recomiendo ampliamente."
207,"Nunca tiene para cambiar morralla solo especifican un día y hora que hay no se supone que tienen que tener disponible cuando uno necesite.
Siguen sin dar cambio cuando se necesita"
208,"Muy buena atención en esta sucursal, a pesar de la zona, es muy segura."
209,Muy buena atención y rápida
210,Muy buen servicio
211,"Muy buena atención, rápida y eficiente."
212,Rápidos y eficientes
213,Buena atención
222,"Leeeento el servicio, con la situación que vivimos deben ser más ágiles y rápidos"
223,"Horrible atención 40 minutos esperando, tardan 40 minutos en atender a un cliente, es increíble la falta de eficiencia, y ni quejarte porque la gerente ni nos pela, yo iba a tramitar un crédito, pero con eso ni regreso ni para trámites, y…"
224,"Horrible. Yo quería solicitar una nueva tarjeta de débito, fue tres días, y cada vez me hablaban cosas diferentes. Y ahora estoy cambiando de lugar de trabajo y ya no sé cómo recibir mi tarjeta. O sea, no están preparados para atender a los…"
225,"Me hicieron esperar 1 hora, súper lentos !!! Pierden el tiempo chismeando entre ellos 😒"
226,"No es posible que a las 8:00h estén los cajeros cuando se jactan de ser el ""mejor banco de México"""
227,Buen servicio y rapidez al atender
228,Según el mapa tengo una sucursal en Shakespeare y Víctor Hugo Colonia Anzures cosa que es falsa completamente
229,Excelentes instalaciones
234,Pésima atención en el área de ejecutivos. Dan atención de manera aleatoria sin respetar los turnos. Personal muy incompetente. Pésima experiencia.
235,"Excelente ubicación para un Banco.
El plus son los locales anexos en la plaza lo cual me ayudo  a no desplazarme y ahorre tiempo."
236,Cerrada Temporalmente por la pandemia. Los cajeros funcionan sin problema.
237,"Pésimo servicio. Es el banco más discriminativo que he conocido. Desafortunadamente tenía q cobrar un cheque en ese banco y acudí pero por no ser cuentahabiente me dejaron esperando mas de una hora y media, no respetaron mi turno y me…"
238,"Es una mugre, 2 ejecutivos de cuenta para atender, había 3 personas antes que yo y se tardaron 2 horas en atenderme. Dan vueltas sobre su propio eje, son unos ineptos en esta sucursal."
239,Ninguno de los mugrosos cajeros sirvió para un retiro sin tarjeta
240,Buen servicio
241,Excelente Servicio
242,"El jueves 4 de abril del 2019 fui a abrir una cuenta y la pseudo ejecutiva que me atendió me condicionó la apertura, ya que me pedía comprara un seguro o una inversión y que de no ser así no podría abrirla. Al día siguiente fui a otra sucursal y la pude abrir sin  problema.
Pésimo el servicio en esa sucursal."
243,"Porquería de sucursal, están muy ocupados para atenderte como se debe y ademas te piden documentación que la dependencia donde laboras no emite!"
244,"El problema no es totalmente del banco, pues 3 personas me atendieron y únicamente una no me ayudó a solucionar la cuestión por la que fui, la gran bronca es que esa persona es (aparentemente) la responsable de dicha sucursal, con un trato…"
245,"Muy pocos ejecutivos para la afluencia del banco, te tardan demasiado en atender"
246,"2 ocasiones he ido por cercanía y ambas fueron nefastas experiencias.
En ambos casos las recepcionistas son groseras, no tienen idea de cuál es su trabajo y mucho menos brindan apoyo cuando surge una duda o problema en los cajeros automáticos."
247,"Pésima actitud por parte de las recepcionistas, que mienten con información falsa sobre tus cuentas y contesta de la peor manera"
248,Buena atención y apoyo del personal
249,Tardan demasiado en atenderte y no hay muchos ejecutivos
250,Vayan a otra sucursal
255,"El personal de primera línea es pésimo, con una pésima actitud de servicio.  una chica creo llamada Yuliana que es el primer filtro mantiene una actitud déspota y arrogante, quieres pasar con un ejecutivo y no te permite el paso, habla mal…"
256,"El personal es muy grosero, quise hacer un depósito y la señora que estaba en la puerta fue muy poco educada al decir que solo depósitos mayores a $25000 osea porque les tiene uno que decir cuánto dinero quiere uno depósitar ellos están…"
257,"Mucha gente solicitando servicios, pocas ventanillas, discriminacion por tipo de cliente"
258,"El personal no ofrece buen trato, no me dieron solucion y solo se hachan ""la bolita"" uno a otro y a otro y a otro"
259,Como los cajeros están dentro de la plaza comercial son muy concurridos y siempre hay gente
264,"Buen servicio y atención el personal muy atento y amable ,la sucursal siempre impecable , los asesores siempre muy amables y atentos a los diferentes requisitos que se solicitan muy buen trato magníficos productos y servicios"
265,"Con una gran ubicación!
Muy cerca al eje 6.
Instalaciones agradables y limpias!
Moderno y práctico.
Cajas para depósitos y pagos las 24 hrs.
Así como cajeros automáticos.
Atención rápida y amable.
Estacionamiento a la vuelta.
Buena opción!"
266,"Siempre es lo mismo con los multicajeros al realizar el depósito, no acepta algunos billetes y tardan mucho en permitirte cancelar la operación ya son más de tres ocasiones que se queda con el dinero y tardan hasta 15 días hábiles en reponerlo.
Es una área de oportunidad en la que deben mejorar."
267,"Excelente servicio, atentos y resolvieron todas mis dudas y problemas."
268,Buen servicio me atendieron rapido pero hay dias que falta personal y por un tramite de 5 minutos puedes esperar hasta una hora
269,"Para que un ejecutivo te atienda pasa más de una hora; tenían sólo uno.
No tienen donde estacionarse y el único cercano es muy caro."
270,Los cajeros no curven
271,Excelente atención. Servicio rápido y eficaz por parte de los trabajadores de la sucursal.
272,Muy amplio y con mucha seguridad.
273,"Son lentiiiiiiisimos, qué horror ir a ese banco"
274,"Buen servicio, y con varios cajeros automáticos"
275,Cuidense de la grua...
276,Casi siempre está vacío
289,No atienden con eficiencia y les pregunta uno algo y sólo dicen si y después tiene uno que estar perdiendo el tiempo por sus errores
290,"A mí siempre me han atendido muy bien, son muy amables y responden mis dudas y me resuelven los problemas. Aunque casi siempre trato con el personal de asistencia al cliente, no mucho en las cajas"
291,"Hola, podrían ser tan amables de informarme cuál es el nombre del gerente de esta sucursal? Gracias de antemano."
292,Es un tanto incomodo e inseguro
293,Hacen movimientos en los cajeros cuando la gente los está usando por lo que te tienes que esperar lo que ellos consideren para que te regresen el dinero o no hay rembolso
294,"Un asco de servicio, se tardan, pasan a gente que no está formada, los que atienden súper lentos y nada amistosos. Pésima sucursal"
295,"Muy mala atención, me estuvieron esperando 1 hora y se saltaron mi turno por parte de la ""directora"" con la excusa de que NO SABE abrir cuentas. Misma ""directora"" que hasta que se fue toda la gente, me atendió. DECEPCIONADO."
296,Escondido pero ahi esta Piso L
297,"De las mejores sucursales que existen en México, ejecutivos muy atentos y en buena cantidad desempeñando su trabajo, vigilancia constante"
298,"Te ayuda el personal a depositar efectivo en cajeros automáticos ,son amables"
299,Atencion muy rapida y ejecutivos son amables.
300,"excelente y rápida atención, personal calificado desde el personal que entrega las fichas."
301,Excelente
302,"(Traducción de Google) CR 117

(Original)
CR 117"
312,Supuestamente el servicio de cajero automático es 24 hrs. en esta sucursal pero continuamente está cerrada y es nefasto que lo hagan ya que no permiten hacer uso de los servicios.
313,"Le doy 3 estrellas y no una, porque la atención de la directora salva a esa sucursal, ella es la única proactiva; el ""banquero Jr 3"" de ahí, es un asco, NO OFRECE SOLUCIONES, hasta que le insistía en hablar con la directora y pasas con ella…"
314,"El cajero ATM es 24h no se por que estas personas lo cierran, ya está reportado con oficinas centrales de BBVA no pueden hacer eso"
315,Ese banco nunca tiene cambio pides morralla  o billetes de a 20 y nunca hay pésimo ese banco porque otras sucursales siempre te cambian menos esa
316,"Muy bueno es tranquilo,vigilado y no hay tanta gente"
317,Siempre hay muchísima gente y el personal no se da abasto al ser una sucursal pequeña
318,Nunca tienen cambio pides billetes de 20 o morralla y nunca tienen.
319,Pésima atención. Te hacen dar vueltas y vueltas para abrir una simple cuenta de ahorro
320,"La atención por parte de los ejecutivos es buena pero el tiempo de espera es demasiado, las pocas veces que he ido han pasado a personas incluso sin turno ocasionando que tardes en pasar hasta 1 hora."
321,"No tiene estacionamiento y es un lugar donde seguido pasa la grúa de tránsito y se lleva los carros. Sí van en carro, es preferible ir acompañado para no pasar un disgusto por alguna multa de tránsito."
322,"Terrible experiencia, totalmente incompetentes e ineptos... super lentos no tienen ni idea de los procesos mal informan al cliente en todo y literalmente me siento robada por que ayer me hicieron pagar $400 para dar de baja una cuenta y hoy…"
323,"Le doy 5 estrellas y estas solo abarcan el aspecto de los cajeros automáticos, ya que veo que es regular que todos sirvan y eso es mucho decir ya que otros establecimientos de 5 solo sirven 3; de los demás puntos sobre el banco no estoy muy seguro a sí que en lo individual 5 estrellas para los cajeros."
330,Son unos RATEROS!!!! A mi hermana le robaron su dinero en una practicaja y estuvo reportando en el momento y jamás le dieron respuesta y solo le daban largas! Qué mal que se hagan pasar por un banco confiable.
331,"Cuidado!!!!🚨🚨
No hagan operaciones en la practicaja de esta sucursal, desaparece el dinero!!!
*EL DINERO NO LLEGA A LA PERSONA DESTINADA
*BBVA NO SE HACE RESPONSABLE POR EL DINERO
*MIENTEN Diciéndote que en 15 días te lo devolverán…"
332,Buen servicio de cajeros
333,El cajero se tragó mi dinero quise hacer un depósito a mi cuenta en práctica al final no realizó la.operacion y se quedó con mi dinero
334,"La prácticaja se trago mi dinero y se bloqueo, 9 dias hábiles para recuperar mi dinero del pago de la tarjeta que corta hoy"
335,"El servicio de pasar con un ejecutivo es LENTISIMO Y PESIMO son lentas  y torpes todas las ejecutivas, incluyendo a la Gerente que le dan prioridad a los clientes de turno letra A y los clientes de turno letra B ó C tenemos que esperar mas…"
336,La verdad super bien le han puesto solución a todos los problemas que de repente salen y muy buena atencion
337,Excelente lugar!
338,Buena ubicación
339,Es pequeño pero la atención es buena. Tratan de ser rápidos y eficientes.
340,"La fila de la practicaja es larguísima y avanza lento, principalmente porque mandan ahí a los clientes a realizar la mayoría de sus operaciones"
341,El servicio es un poco lento.
342,Tardadisimo!!! Esta en remodelación y los chavos que atienden les están enseñando.... las filas extremadamente largas y tardado... Es horrible ir a la sucursal......
343,"Cajeros automáticos super, el servicio que otorgar algunos empleados nefasto"
344,Sucursal pequeña
345,Accesible
346,Por lo regular es rápido aunque el lugar tiene un espacio reducido
347,"Ahí recibí mal trato, no me atendía ningún empleado. La ejecutiva Ana Gabriela Cruz es muy maños. La directora incompetente no supo manejar la situación."
348,Horrible sucursal
349,"Atienden bien el problema es que siempre hay mucha gente,  pero es de los pocos bancos que funcionan bien la mayoría de sus cajeros"
350,Pésimo servicio tardado y con muy malos modos la verdad no lo recomiendo se la pasan haciéndose tontos
351,Esta en un buen lugar
352,servicio horrible
353,"(Traducción de Google) súper

(Original)
Super"
361,Uy bueno solo hay que tener mucho cuidado con las normas de sanitisacion
362,"Este bbva está dentro de pabellón en el tercer piso, casi a un lado de Santander, la ubicación mostrada no es tan precisa"
363,Buen servicio.
364,"Llevo en Bancomer más de 20 años y esta sucursal sin lugar a dudas es la peor: personal descortés y mal capacitado que en lugar de darte el servicio por el que vas, trata de venderte tarjetas de crédito, cuando es inapropiado. Los cajeros…"
365,"Después de varios meses, apenas dieron respuesta a un asunto que se tenía, pésimo servicio el de este banco!"
366,"Los cajeros bien pero los ejecutivos te tratan como si estuvieras en el IMSS, tener una cuenta ahí es una prueba constante de  paciencia"
367,"Me recibieron muy bien, pero la cajera nada amable y no me prestaba atención."
368,El sonido ambiental es DEMASIADO FUERTE...pensé que estaba en un antro de Quinta!....imposible conversar
369,"Ubicado en el 2do piso (el piso del fast food), al fondo, a un lado del Gym y Cinemex. Hay ATMs y Practicaja funcional mientras la plaza esté abierta."
370,Mal servicio más de 50 minutos de espera y no se pudo cobrar un cheque actitud prepotente de el jefe de cajas y personal en geral un verdadero desastre de sucursal
371,Servicio estándard
374,"Les comento el día de hoy,  realicé un deposito de un cheque de mi esposa  con ayuda de un asiste del banco 🏦 en un cajero 🏧 el cual debería ser depositado en mi cuenta de débito.
En el cajero 🏧 indica que la operación fue exitosa por lo…"
375,"Muy bien ubicado, de fácil acceso y cuenta con muchos cajeros"
376,Muy buen servicio! A veces el problema no esta en sus manos para resolver pero solo hay que entender lo que nos tratan de explicar y tener un poco de paciencia. Pero reciben con una buena atención y sonrisa -esa es buena actitud.
377,"Pésima atención. Me quedé esperando ni turno por más de 40 min. para pasar con un ejecutivo comercial, pero al parecer el personal y el encargado pasan a personas sin turno sin que sea claro el criterio preferencial que aplican. Hay otros bancos y hay otras sucursales."
378,"Es de los bancos con mas cajeros que he visto, ademas que hay cajeros para hacer depositos y esta muy amplio ademas. Muy bonito!"
379,"He ido ya 4 veces a esta sucursal y jamás han podido resolverme un trámite. Hoy fui por segundo día consecutivo a ver si podía reponer una tarjeta a la que no le funcionaba el chip. Cada persona que te atiende te da una versión distinta, y…"
380,"¡Fatal!
¡TE MIENTEN EN TODO!
Nunca son capaces de resolverte nada.
Te dan información falsa y no puedes confiar en la gente que te atiende.
Deberían vigilar está sucursal porque funciona de forma muy irregular y los empleados no son para…"
381,"Marqué el teléfono y nunca contesta alguna persona para orientar en algún trámite, solo su grabadora, es muy impersonal su línea, como siempre es un banco que no resuelve, lástima!"
